time	V(out)	V(vc)
2.653834090911604e-06	4.695835e+00	-1.871197e+00
2.658015846052769e-06	4.695916e+00	-1.867594e+00
2.662137621829361e-06	4.695997e+00	-1.864043e+00
2.666281626377076e-06	4.696078e+00	-1.860475e+00
2.670506285290574e-06	4.696161e+00	-1.856839e+00
2.676485635053072e-06	4.696278e+00	-1.851695e+00
2.683162985609236e-06	4.696409e+00	-1.845954e+00
2.691618825209586e-06	4.696576e+00	-1.838687e+00
2.700981326655364e-06	4.696760e+00	-1.830647e+00
2.710981326655305e-06	4.696958e+00	-1.822067e+00
2.720981326655245e-06	4.697156e+00	-1.813493e+00
2.730981326655186e-06	4.697355e+00	-1.804925e+00
2.740981326655127e-06	4.697555e+00	-1.796365e+00
2.750981326655067e-06	4.697755e+00	-1.787811e+00
2.760981326655008e-06	4.697955e+00	-1.779264e+00
2.770981326654948e-06	4.698156e+00	-1.770723e+00
2.778314139262284e-06	4.698304e+00	-1.764464e+00
2.781708526295454e-06	4.698373e+00	-1.761569e+00
2.783656537258278e-06	4.698412e+00	-1.759907e+00
2.784531057780466e-06	4.698430e+00	-1.759161e+00
2.785040817732598e-06	4.698440e+00	-1.758726e+00
2.785696510900978e-06	4.698453e+00	-1.758167e+00
2.786343867540626e-06	4.698466e+00	-1.757615e+00
2.787089411770277e-06	4.698482e+00	-1.756980e+00
2.787895629451000e-06	4.698498e+00	-1.756292e+00
2.789321558918385e-06	4.698527e+00	-1.755077e+00
2.792166872590774e-06	4.698585e+00	-1.752652e+00
2.793633805246633e-06	4.698614e+00	-1.751402e+00
2.794956487559919e-06	4.698641e+00	-1.750275e+00
2.796296837060579e-06	4.698668e+00	-1.749133e+00
2.797658583039144e-06	4.698696e+00	-1.747972e+00
2.799227569970190e-06	4.698728e+00	-1.746636e+00
2.802323929709111e-06	4.698791e+00	-1.743999e+00
2.806173565777148e-06	4.698868e+00	-1.740722e+00
2.811849042670504e-06	4.698984e+00	-1.735891e+00
2.817290188324769e-06	4.699094e+00	-1.731262e+00
2.821744746115545e-06	4.699184e+00	-1.727474e+00
2.825099553608549e-06	4.699252e+00	-1.724622e+00
2.827673849832655e-06	4.699303e+00	-1.722434e+00
2.830406446735099e-06	4.699357e+00	-1.720112e+00
2.833101969358133e-06	4.699408e+00	-1.717822e+00
2.835860388638884e-06	4.699459e+00	-1.715479e+00
2.838772568118436e-06	4.699510e+00	-1.713006e+00
2.840821501846631e-06	4.699544e+00	-1.711266e+00
2.842565081598563e-06	4.699572e+00	-1.709786e+00
2.844028916725678e-06	4.699594e+00	-1.708544e+00
2.845043039848612e-06	4.699608e+00	-1.707683e+00
2.845702596680939e-06	4.699617e+00	-1.707123e+00
2.846325177332468e-06	4.699625e+00	-1.706595e+00
2.846954951306324e-06	4.699634e+00	-1.706060e+00
2.847636315731709e-06	4.699643e+00	-1.705482e+00
2.848817112785593e-06	4.699658e+00	-1.704480e+00
2.850417230586006e-06	4.699679e+00	-1.703123e+00
2.852962307785777e-06	4.699712e+00	-1.700964e+00
2.854634604091983e-06	4.699734e+00	-1.699546e+00
2.855719868103887e-06	4.699749e+00	-1.698626e+00
2.856405252032101e-06	4.699758e+00	-1.698044e+00
2.856973099303042e-06	4.699765e+00	-1.697563e+00
2.857562422561638e-06	4.699772e+00	-1.697063e+00
2.858273010405196e-06	4.699782e+00	-1.696461e+00
2.859047119065615e-06	4.699792e+00	-1.695805e+00
2.860145939747412e-06	4.699806e+00	-1.694873e+00
